File Name,Main mission,Sub mission,Academic Summary,Link sub folder
รวมบทความ PA final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.3 รายงานการวิจัยและพัฒนา (R&D) ในบทบาทศึกษานิเทศก์,ผลการวิเคราะห์และสะท้อนมุมมองเชิงวิชาการ 7 บทความในการจัดทำข้อตกลงพัฒนางาน (ว.PA) โดยใช้ศาสตร์การวิจัยและประเมินผลตามสภาพจริง (Authentic Assessment) เป็นฐานคิดเพื่อขับเคลื่อนห้องเรียนสมรรถนะ,https://drive.google.com/drive/folders/1UHau5Y_tZk2yz4wGd-EyCgdYwyLbOyIp?usp=sharing
รวมบทความอัตนัย 2562.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.3 การถอดบทเรียนและแนวปฏิบัติที่เป็นเลิศของสถานศึกษา (School Best Practices),การถอดประสบการณ์และเทคนิคการจัดการเรียนรู้ของครูผู้สอนที่สามารถพัฒนาทักษะการเขียนตอบข้อสอบอัตนัยของนักเรียนได้อย่างเป็นรูปธรรม ยึดโยงจากผลการทดสอบ O-NET ปี 2562,https://drive.google.com/drive/folders/18StcylMa_avVn9dn80b2Hns6hale1gH8?usp=sharing
รวมบทความอัตนัย 2563.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.3 การถอดบทเรียนและแนวปฏิบัติที่เป็นเลิศของสถานศึกษา (School Best Practices),การถอดประสบการณ์และเทคนิคการจัดการเรียนรู้ของครูผู้สอนต้นแบบ 8 ท่าน ที่สามารถพัฒนาทักษะการเขียนตอบข้อสอบอัตนัยของนักเรียนได้อย่างเป็นรูปธรรม ยึดโยงจากผลการทดสอบ O-NET ปี 2563,https://drive.google.com/drive/folders/18StcylMa_avVn9dn80b2Hns6hale1gH8?usp=sharing
รวมบทความอัตนัย 2564.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.3 การถอดบทเรียนและแนวปฏิบัติที่เป็นเลิศของสถานศึกษา (School Best Practices),คลังแนวปฏิบัติที่ดีเลิศ (Best Practices) จากครูและผู้บริหาร 23 โรงเรียน ในการขับเคลื่อนกิจกรรมส่งเสริมความสามารถการเขียนแบบทดสอบชนิดเขียนตอบ เพื่อยกระดับสมรรถนะการคิดวิเคราะห์เชิงลึกของผู้เรียน,https://drive.google.com/drive/folders/18StcylMa_avVn9dn80b2Hns6hale1gH8?usp=sharing
รวมบทความอัตนัย 2566.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.3 การถอดบทเรียนและแนวปฏิบัติที่เป็นเลิศของสถานศึกษา (School Best Practices),เอกสารรวมองค์ความรู้และเทคนิคเชิงลึกจากครูผู้สอน 31 ท่าน ในการแก้ปัญหาและพัฒนาทักษะการเขียนอัตนัย สะท้อนความสำเร็จเชิงระบบผ่านผลการทดสอบระดับชาติ (O-NET) ปี 2566 ของจังหวัดเชียงใหม่,https://drive.google.com/drive/folders/18StcylMa_avVn9dn80b2Hns6hale1gH8?usp=sharing
รวมเล่ม 10 ปี A5.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""",อนุสรณ์รวมบทความวิชาการคัดสรรในโอกาสครบรอบ 10 ปีการดำรงตำแหน่งศึกษานิเทศก์ ประกอบด้วยแนวคิดการวัดและประเมินผล 10 เรื่อง และการวิจัยในชั้นเรียน 10 เรื่อง ที่ทันสมัยและครูสามารถนำไปประยุกต์ใช้ได้จริง,https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
รวมเล่มการประเมินในสถานการณ์ที่ไม่คุ้นเคย.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,"บทความวิเคราะห์และแนวทางการวัดประเมินผลการเรียนรู้ออนไลน์บนฐานคิด ""Assessment for Life"" โดยนำเสนอนวัตกรรมเครื่องมือช่วยประเมินแบบ 4 ส และ 4 ท ร่วมกับ Rubrics เพื่อลดความเครียดของผู้เรียนและผู้ปกครอง",https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่มความเชื่อมโยงวิจัยในชั้นเรียน และ ระดับวิทยฐานะ.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป),คู่มือพัฒนาวิชาชีพที่ใช้กระบวนการวิจัยในชั้นเรียนเป็นเข็มทิศนำทาง เพื่อเป็นสื่อสร้างความเข้าใจให้ครูผู้สอนมองเห็นความเชื่อมโยงในการพัฒนาตนเองและการเลื่อนระดับวิทยฐานะตามเกณฑ์ ว.PA จากครูผู้ช่วยสู่ครูเชี่ยวชาญพิเศษ,https://drive.google.com/drive/folders/1XTdr4mmlwkj8wnRVMpYYiECGwHSYoY4H?usp=sharing
รวมเล่มนานาทัศนะ final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""",หนังสือรวบรวม 6 มุมมองเชิงวิชาการในการปฏิรูปการศึกษาฐานสมรรถนะ โดยเสนอแนวคิดการออกแบบหลักสูตร การจัดการเรียนรู้ และการประเมินสมรรถนะที่ยึดโยงจากสถานการณ์จริงรอบตัวผู้เรียน,https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
รวมเล่มวัดผลบูรณาการ.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,ต้นแบบแนวทางการประเมินการเรียนรู้แบบบูรณาการข้ามศาสตร์ในยุคดิจิทัล โดยการหยิบยกคำค้นหายอดนิยมจาก Google Trends มาสร้างเป็นสิ่งเร้าและสถานการณ์จำลอง เพื่อวัดสมรรถนะควบคู่กับการลดภาระงานของครูและนักเรียน,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่มวิจัยในชั้นเรียนสถานการณ์ที่ไม่คุ้นเคย.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.3 รายงานการวิจัยและพัฒนา (R&D) ในบทบาทศึกษานิเทศก์,งานวิจัยและสะท้อนมุมมองเชิงระบบในการทำวิจัยในชั้นเรียนแบบร่วมมือ (Collaborative Classroom Research) ภายใต้ข้อจำกัดของสถานการณ์เปลี่ยนผ่าน เพื่อสร้างแนวทางใหม่ในการแก้ปัญหาที่ไม่คุ้นเคยด้วยนวัตกรรมที่เท่าทันบริบท,https://drive.google.com/drive/folders/1UHau5Y_tZk2yz4wGd-EyCgdYwyLbOyIp?usp=sharing
รวมบทความ Learning Loss.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.3 การถอดบทเรียนและแนวปฏิบัติที่เป็นเลิศของสถานศึกษา (School Best Practices),คลังแนวปฏิบัติที่ดีเลิศ (Best Practices) จากการถอดประสบการณ์จริงของครูผู้สอนและโรงเรียน 8 แห่งในจังหวัดเชียงใหม่ ในการออกแบบกิจกรรมการเรียนรู้เพื่อฟื้นฟูและแก้ไขภาวะถดถอยทางการเรียนรู้ของผู้เรียนหลังวิกฤต,https://drive.google.com/drive/folders/18StcylMa_avVn9dn80b2Hns6hale1gH8?usp=sharing
รวมบทความการเขียนข้อสอบชนิดเขียนตอบ อัตนัย.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""",คู่มือและแนวทางวิชาการที่เรียบเรียงขึ้นเพื่อสร้างความรู้ความเข้าใจให้แก่ครูและผู้บริหาร ตั้งแต่มโนทัศน์เบื้องต้น การวิเคราะห์มาตรฐานตัวชี้วัด การสร้างเครื่องมือวัดผลสัมฤทธิ์แบบอัตนัย และการใช้เกณฑ์ประเมิน (Rubrics),https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
รวมบทความการประเมินแบบบูรณาการเพื่อรองรับ CBE.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,นวัตกรรมต้นแบบแนวทางการประเมินผลข้ามศาสตร์เพื่อรองรับการศึกษาฐานสมรรถนะ (CBE) โดยใช้สถานการณ์จริงรอบตัวและคำค้นหายอดนิยมจาก Google Trends มาเป็นสิ่งเร้า มุ่งลดภาระการประเมินของครูและนักเรียน,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมบทความการวัดผลแบบบูรณาการข้ามศาสตร์.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,การพัฒนากรอบแนวคิดและเครื่องมือต้นแบบการวัดประเมินผลการเรียนรู้ข้ามศาสตร์ในสถานการณ์ที่ไม่คุ้นเคย เชื่อมโยงบริบทสังคม เทรนด์ออนไลน์ และการประเมินตามสภาพจริง เพื่อช่วยลดภาระงานควบคู่กับการพัฒนาผู้เรียน,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมบทความนานาทัศนะการศึกษาฐานสมรรถนะ.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""",หนังสือรวบรวม 6 ทัศนะและมุมมองเชิงวิชาการด้านการออกแบบการศึกษาฐานสมรรถนะ ครอบคลุมทั้งด้านหลักสูตร การจัดการเรียนรู้ และการประเมินผลที่เน้นสถานการณ์รอบตัวผู้เรียน เพื่อเป็นแนวทางปฏิรูปห้องเรียน,https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
รวมเล่ม data driven education.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""",คู่มือเชิงแนวคิดและกระบวนการสำหรับครูในการนำข้อมูลสารสนเทศมาใช้ตัดสินใจเพื่อพัฒนาคุณภาพการศึกษา (Data-Driven Decisions) ครอบคลุมการเก็บ วิเคราะห์ และรายงานผลเพื่อยกระดับผลสัมฤทธิ์อย่างเป็นระบบ,https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
รวมเล่ม education taxonomy final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""","เอกสารวิชาการจำแนกหมวดหมู่และอนุกรมวิธานสำคัญทางการศึกษา (เช่น Bloom, Marzano, Webb's DOK) เพื่อเป็นกรอบแนวคิดให้ครูนำไปประยุกต์ใช้ในการจัดพฤติกรรมการเรียนรู้และการสร้างข้อสอบวัดคิดขั้นสูง",https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
รวมเล่ม ลุก รับ เรียน รู้.pdf,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.1 เอกสารวิชาการและสื่อการเรียนรู้ดิจิทัลในรูปแบบไฟล์คงรูป (PDF/e-Book),"นวัตกรรมการจัดการความรู้ (KM) ของศึกษานิเทศก์ในบทบาท ""นักเล่าเรื่อง"" ผ่านแพลตฟอร์มโซเชียลมีเดีย เพื่อเปลี่ยนผ่านความรู้ ""จากกระดาษสู่อากาศ"" หนุนเสริมให้ครูเกิดการเรียนรู้ร่วมกันแบบยืดหยุ่น",https://drive.google.com/drive/folders/1k0eNO-0kkMyYEvHbEJ12LLxqDdEujTCW?usp=sharing
รวมเล่มนิเทศการณ์ ปก 5.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""",หนังสือรวมบทความวิชาการด้านการวัดประเมินผลและการวิจัยในชั้นเรียนบนฐานคิด Assessment for Learning เพื่อเป็นแหล่งเรียนรู้ทางไกลช่วยลดความเหลื่อมล้ำในการเข้าถึงองค์ความรู้ของครูในพื้นที่ห่างไกล,https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
รวมเล่มบันทึกใน FB.pdf,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.1 เอกสารวิชาการและสื่อการเรียนรู้ดิจิทัลในรูปแบบไฟล์คงรูป (PDF/e-Book),"การสกัดองค์ความรู้และเครื่องมือดิจิทัล (เช่น Google Forms, Looker Studio) จากการบันทึกประสบการณ์ผ่าน Facebook ของศึกษานิเทศก์ เพื่อสร้างระบบสารสนเทศอัจฉริยะและกระตุ้นการปฏิรูปห้องเรียนฐานสมรรถนะ",https://drive.google.com/drive/folders/1k0eNO-0kkMyYEvHbEJ12LLxqDdEujTCW?usp=sharing
แนวทางการเขียนรายงานวิจัย ขั้นพื้นฐาน.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""",คู่มือและแนวทางวิชาการที่สกัดจากประสบการณ์ตรง เพื่อเป็นเข็มทิศนำทางให้แก่ครูผู้สอนระดับขั้นพื้นฐานในการเขียนรายงานการวิจัยในชั้นเรียนอย่างถูกต้องตามหลักเกณฑ์และเป็นระบบ,https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
แนวทางการเขียนรายงานวิจัย ปฐมวัย.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""",เอกสารแนวทางการจัดทำและเขียนรายงานการวิจัยในชั้นเรียนที่ออกแบบมาเฉพาะสำหรับครูปฐมวัย เพื่อเป็นเครื่องมือในการสืบเสาะความจริงและแก้ปัญหาพัฒนาการเด็กอย่างเป็นระบบและเชื่อถือได้,https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
รวมเล่ม AL 2568.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.3 รายงานการวิจัยและพัฒนา (R&D) ในบทบาทศึกษานิเทศก์,รายงานการวิจัยเชิงสำรวจเพื่อสกัดและตรวจสอบองค์ประกอบและพฤติกรรมบ่งชี้ในการจัดกิจกรรม Active Learning ของครูผู้สอนจังหวัดเชียงใหม่ ปี 2568 เพื่อใช้เป็นกรอบมาตรฐานในการประเมินและนิเทศการศึกษา,https://drive.google.com/drive/folders/1UHau5Y_tZk2yz4wGd-EyCgdYwyLbOyIp?usp=sharing
รวมเล่ม Canva v 2.pdf,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.3 คู่มือและรายงานการประเมินผลการใช้เทคโนโลยีดิจิทัล (สถิติการใช้งาน/คู่มือผู้ใช้ระบบ),คู่มือเทคนิคการประยุกต์ใช้แพลตฟอร์ม Canva for Education สำหรับครูผู้สอน เพื่อการออกแบบการเรียนการสอน การสื่อสารในการนิเทศการศึกษา และการจัดกิจกรรมส่งเสริมทักษะการคิดขั้นสูงของผู้เรียน,https://drive.google.com/drive/folders/1_MewmqiZ2ca1qG0rkFYMKFbCIOVLA6b7?usp=sharing
รวมเล่ม GDS.pdf,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.2 การพัฒนาระบบอัตโนมัติและเครื่องมือช่วยปฏิบัติงาน (การเขียนสคริปต์/โค้ด/ระบบอัตโนมัติ),คู่มืออธิบายการใช้งาน Google Data Studio (GDS) แบบ Step-by-Step สำหรับผู้บริหารและครู เพื่อพัฒนาคุณภาพการศึกษาและระบบบริหารจัดการสถานศึกษาโดยใช้สารสนเทศและการขับเคลื่อนด้วยข้อมูล,https://drive.google.com/drive/folders/12npSm4gurZQZymD0KIj0syAIRYTQiEF1?usp=sharing
รวมเล่ม Innovator to innovation final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,"รายงานการวิจัยและพัฒนาเครื่องมือต้นแบบ ""แบบประเมินคุณลักษณะนวัตกร"" สำหรับนักเรียนชั้นมัธยมศึกษาตอนต้นในจังหวัดเชียงใหม่ โดยผ่านการตรวจสอบคุณภาพพฤติกรรมบ่งชี้ทั้ง 7 ด้านอย่างเป็นวิทยาศาสตร์",https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่ม LDS v.2.pdf,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.2 การพัฒนาระบบอัตโนมัติและเครื่องมือช่วยปฏิบัติงาน (การเขียนสคริปต์/โค้ด/ระบบอัตโนมัติ),คู่มือการประยุกต์ใช้ Looker Studio (ฉบับปรับปรุงครั้งที่ 2) สำหรับผู้บริหารและครู เพื่อเปลี่ยนข้อมูลดิบให้เป็นแดชบอร์ดสารสนเทศอัจฉริยะ นำไปสู่การบริหารจัดการห้องเรียนและสถานศึกษาโดยใช้สารสนเทศเป็นฐาน,https://drive.google.com/drive/folders/12npSm4gurZQZymD0KIj0syAIRYTQiEF1?usp=sharing
รวมเล่ม NT คณิตศาสตร์ 63 64 65.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,คลังเครื่องมือและแนวทางการจัดกลุ่มข้อสอบ NT ด้านคณิตศาสตร์ (ปี 2563-2565) แยกตามมาตรฐานและตัวชี้วัด เพื่อให้ครูและนักเรียนชั้นประถมศึกษาปีที่ 3 ใช้สร้างความคุ้นเคยและวางแผนพัฒนาสมรรถภาพรายบุคคล,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
